Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Kazim's Biryani," 11, Rajendraprasad Road, Nehru nagar, Chromepet, Chennai",Chromepet,"['South Indian', ' Chinese', ' Arabian', ' Biryani']",Invalid,350.0,3.6,39,3.9,723,"['Home Delivery', 'Indoor Seating']"
Sandwich @ 42," 21, New Colony, Velachery, Chennai",Velachery,"['Sandwich', ' Fast Food', ' Beverages']",Invalid,450.0,3.2,32,3.8,2355,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Chithirakkudi," 6th Main Road, New Colony, Chromepet, Chennai",Chromepet,['Chettinad'],Invalid,250.0,3.5,30,3.8,379,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Flavours Of Banaras," 161/72, TTK, CIT Colony, Alwarpet, Chennai",Alwarpet,"['Paan', ' Beverages']",Invalid,350.0,3.6,21,3.9,29,"['Home Delivery', 'Outdoor Seating']"
MARS - Biriyani & Barbecue - HUT," Shop 1, Vikram Plaza, 60 Feet Annanur Railway Station Road, Annanur, Avadi, Chennai",Avadi,['Biryani'],Invalid,200.0,3.6,36,3.7,274,"['Home Delivery', 'Bulk Orders Accepted', 'Indoor Seating']"
Lassi Di Hatti," 9, MGR Salai, Opposite S.P. Infocity, Kodandarama Nagar Perungudi, Perungudi, Chennai",Perungudi,"['Street Food', ' Beverages']",Invalid,200.0,3.1,22,3.6,93,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']"
Le Shawarma Kings," Tambaram Sanatorium, Tambaram, Chennai",Tambaram,"['Lebanese', ' Fast Food']",Invalid,250.0,3.7,28,4.1,88,"['Home Delivery', 'Outdoor Seating']"
Andhra Chillies," 2, Pillaiyar Koil Street, Annanagar, Taramani, Chennai",Taramani,"['Biryani', ' Andhra']",Invalid,300.0,3.0,39,3.6,830,"['Home Delivery', 'Indoor Seating']"
Burmese Kitchen," 133, Food Street, Poonamallee High Road, NH 45, Velappanchavadi, Maduravoyal, Chennai",Maduravoyal,['Burmese'],Invalid,200.0,3.7,30,4.3,110,"['Home Delivery', 'Indoor Seating']"
CoCoChilli," 3, PC 1 Kambar Salai, Mogappair, Chennai",Mogappair,"['Italian', ' Chinese', ' Biryani', ' Fast Food']",Invalid,650.0,3.4,20,3.9,33,"['Home Delivery', 'Indoor Seating']"
Urban Treat Multicuisine BBQ Restaurant," First Floor, 245, Thanthai Periyar Nagar, Velachery Main Road, Pallikaranai, Chennai",Pallikaranai,"['North Indian', ' Seafood', ' BBQ', ' Chinese', ' Arabian', ' Desserts']",Invalid,400.0,3.2,27,3.6,615,"['Home Delivery', 'Outdoor Seating', 'Available for Functions', 'Indoor Seating']"
Chai Junction," 15, New West Street Avvai Nagar, Choolaimedu, Chennai",Choolaimedu,"['Fast Food', ' Beverages']",Invalid,400.0,3.6,28,3.4,38,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Capri," Old 122, New 6, Behind LIC Building, General Patters Road, Royapettah, Chennai",Royapettah,"['Chinese', ' Seafood', ' Mughlai', ' Chettinad']",Invalid,450.0,3.6,37,4.1,432,"['Home Delivery', 'Indoor Seating']"
The Seafarers," 5, 3rd Main Road, Vellalar Street, Ambattur, Chennai","OMR Food Street, Ambattur","['Seafood', ' North Indian', ' Chinese']",Invalid,450.0,2.9,17,2.6,35,"['Home Delivery', 'Indoor Seating', 'Free Parking']"
Annachi Lalackadai," 3, Ayyapakkam Main Road, M.G.R. Puram West, Ayyapakkam, Ambattur, Chennai",Ambattur,"['North Indian', ' Mithai']",Invalid,300.0,3.7,39,4.0,1423,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Chicken Darbar," 4A, Padma Nagar, Kolathur, Chennai",Kolathur,"['Biryani', ' South Indian', ' Chinese', ' Chettinad']",Invalid,300.0,3.5,22,3.3,66,"['Home Delivery', 'Indoor Seating']"
Salt & Pepper," 4/12, Reddy Street, Virugambakkam, Chennai",Virugambakkam,"['Chettinad', ' Chinese', ' North Indian']",Invalid,550.0,3.3,33,4.2,907,"['Home Delivery', 'Indoor Seating']"
